iter	Passed	Remaining
851	19395	3369
852	19417	3346
853	19442	3323
854	19465	3301
855	19488	3278
856	19544	3261
857	19572	3239
858	19595	3216
859	19620	3194
860	19642	3171
861	19666	3148
862	19687	3125
863	19709	3102
864	19726	3078
865	19745	3055
866	19770	3032
867	19794	3010
868	19820	2987
869	19839	2964
870	19862	2941
871	19880	2918
872	19899	2894
873	19923	2872
874	19951	2850
875	19975	2827
876	20000	2805
877	20022	2782
878	20041	2758
879	20063	2735
880	20084	2712
881	20101	2689
882	20119	2665
883	20139	2642
884	20157	2619
885	20176	2596
886	20197	2573
887	20216	2549
888	20241	2527
889	20264	2504
890	20294	2482
891	20321	2460
892	20346	2437
893	20371	2415
894	20393	2392
895	20416	2369
896	20445	2347
897	20471	2325
898	20494	2302
899	20520	2280
900	20541	2257
901	20566	2234
902	20587	2211
903	20611	2188
904	20629	2165
905	20649	2142
906	20666	2119
907	20686	2095
908	20708	2073
909	20728	2050
910	20749	2027
911	20770	2004
912	20795	1981
913	20824	1959
914	20848	1936
915	20869	1913
916	20887	1890
917	20904	1867
918	20928	1844
919	20953	1822
920	20975	1799
921	20994	1776
922	21013	1753
923	21030	1729
924	21049	1706
925	21069	1683
926	21092	1661
927	21113	1638
928	21131	1614
929	21148	1591
930	21165	1568
931	21181	1545
932	21199	1522
933	21220	1499
934	21245	1476
935	21271	1454
936	21297	1431
937	21323	1409
938	21347	1386
939	21364	1363
940	21384	1340
941	21406	1318
942	21431	1295
943	21456	1272
944	21480	1250
945	21498	1227
946	21516	1204
947	21536	1181
948	21558	1158
949	21580	1135
950	21602	1113
951	21622	1090
952	21642	1067
953	21661	1044
954	21679	1021
955	21698	998
956	21719	975
957	21743	953
958	21769	930
959	21797	908
960	21823	885
961	21843	862
962	21864	840
963	21884	817
964	21903	794
965	21928	771
966	21952	749
967	21972	726
968	21991	703
969	22013	680
970	22032	658
971	22054	635
972	22076	612
973	22094	589
974	22115	567
975	22135	544
976	22155	521
977	22175	498
978	22199	476
979	22225	453
980	22251	430
981	22280	408
982	22302	385
983	22321	362
984	22342	340
985	22361	317
986	22384	294
987	22409	272
988	22433	249
989	22457	226
990	22474	204
991	22495	181
992	22514	158
993	22536	136
994	22559	113
995	22578	90
996	22599	68
997	22616	45
998	22636	22
999	22659	0
